timestamp,phase,run_index,requested_name,variant,panel_width,n,gpu_name,driver_version,temp_c,power_w,graphics_clock_mhz,memory_clock_mhz
2026-07-11T16:39:46,timed,5,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:47,timed,5,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.87,1020,3401
2026-07-11T16:39:49,timed,5,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.84,1020,3401
2026-07-11T16:39:50,timed,5,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.85,1020,3401
2026-07-11T16:39:51,timed,6,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.82,1020,3401
2026-07-11T16:39:52,timed,6,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.93,1020,3401
2026-07-11T16:39:53,timed,6,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.88,1020,3401
2026-07-11T16:39:54,timed,6,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.94,1020,3401
2026-07-11T16:39:56,warmup,-1,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:58,warmup,-1,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,61,11.79,1020,3401
2026-07-11T16:40:01,warmup,-1,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,61,11.88,1020,3401
2026-07-11T16:40:03,warmup,-1,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,61,11.91,1020,3401
2026-07-11T16:40:06,timed,0,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,61,12.16,1080,3401
2026-07-11T16:40:08,timed,0,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,62,13.54,1425,3401
2026-07-11T16:40:10,timed,0,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,62,11.95,1020,3401
2026-07-11T16:40:12,timed,0,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,62,12.08,1065,3401
2026-07-11T16:40:15,timed,1,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,61,11.91,1020,3401
2026-07-11T16:40:18,timed,1,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,61,12.24,1110,3401
2026-07-11T16:40:21,timed,1,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,61,11.97,1050,3401
2026-07-11T16:40:24,timed,1,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,61,12.08,1095,3401
2026-07-11T16:40:27,timed,2,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,61,12.37,1185,3401
2026-07-11T16:40:30,timed,2,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,60,12.24,1140,3401
2026-07-11T16:40:32,timed,2,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,61,12.01,1065,3401
2026-07-11T16:40:35,timed,2,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,61,14.26,1560,3401
2026-07-11T16:40:38,timed,3,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,61,11.82,1020,3401
2026-07-11T16:40:41,timed,3,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,60,11.79,1020,3401
2026-07-11T16:40:44,timed,3,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,60,12.12,1125,3401
2026-07-11T16:40:47,timed,3,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,60,11.85,1020,3401
2026-07-11T16:40:50,timed,4,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,60,12.24,1140,3401
2026-07-11T16:40:53,timed,4,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,60,12.55,1230,3401
2026-07-11T16:40:56,timed,4,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,60,11.87,1020,3401
2026-07-11T16:40:58,timed,4,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,60,12.47,1200,3401
2026-07-11T16:41:01,timed,5,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,60,11.88,1020,3401
2026-07-11T16:41:04,timed,5,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,60,12.20,1140,3401
2026-07-11T16:41:07,timed,5,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,60,12.24,1140,3401
2026-07-11T16:41:09,timed,5,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,60,12.39,1185,3401
2026-07-11T16:41:12,timed,6,V6c_b32,V6c,32,4096,NVIDIA GeForce GTX 1650,573.22,60,12.69,1290,3401
2026-07-11T16:41:15,timed,6,V6c_b64,V6c,64,4096,NVIDIA GeForce GTX 1650,573.22,60,11.81,1020,3401
2026-07-11T16:41:18,timed,6,V6c_b128,V6c,128,4096,NVIDIA GeForce GTX 1650,573.22,60,12.05,1065,3401
2026-07-11T16:41:20,timed,6,V6d,V6d,,4096,NVIDIA GeForce GTX 1650,573.22,60,12.26,1155,3401
2026-07-11T16:41:23,warmup,-1,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,61,12.46,1200,3401
2026-07-11T16:41:28,warmup,-1,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,13.39,1425,3401
2026-07-11T16:41:33,warmup,-1,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,61,15.15,1650,3401
2026-07-11T16:41:38,warmup,-1,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,61,17.22,1815,3401
2026-07-11T16:41:43,timed,0,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,61,13.93,1500,3401
2026-07-11T16:41:48,timed,0,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,61,16.06,1740,3401
2026-07-11T16:41:52,timed,0,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,60,13.95,1515,3401
2026-07-11T16:41:57,timed,0,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,15.40,1680,3401
2026-07-11T16:42:02,timed,1,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,60,12.74,1305,3401
2026-07-11T16:42:07,timed,1,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,15.75,1710,3401
2026-07-11T16:42:11,timed,1,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,60,15.32,1680,3401
2026-07-11T16:42:16,timed,1,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,16.64,1785,3401
2026-07-11T16:42:21,timed,2,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,60,13.90,1515,3401
2026-07-11T16:42:26,timed,2,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,13.15,1410,3401
2026-07-11T16:42:31,timed,2,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,60,16.51,1770,3401
2026-07-11T16:42:35,timed,2,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,17.13,1815,3401
2026-07-11T16:42:41,timed,3,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,59,15.10,1650,3401
2026-07-11T16:42:45,timed,3,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,17.20,1815,3401
2026-07-11T16:42:50,timed,3,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,60,17.17,1815,3401
2026-07-11T16:42:55,timed,3,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,17.05,1815,3401
2026-07-11T16:43:00,timed,4,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,60,13.41,1440,3401
2026-07-11T16:43:04,timed,4,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,17.24,1815,3401
2026-07-11T16:43:09,timed,4,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,60,15.29,1680,3401
2026-07-11T16:43:13,timed,4,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,17.24,1815,3401
2026-07-11T16:43:18,timed,5,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,60,14.13,1560,3401
2026-07-11T16:43:23,timed,5,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,17.23,1815,3401
2026-07-11T16:43:28,timed,5,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,59,12.60,1290,3401
2026-07-11T16:43:33,timed,5,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,15.22,1665,3401
2026-07-11T16:43:37,timed,6,V6c_b32,V6c,32,6000,NVIDIA GeForce GTX 1650,573.22,60,17.33,1815,3401
2026-07-11T16:43:42,timed,6,V6c_b64,V6c,64,6000,NVIDIA GeForce GTX 1650,573.22,60,15.50,1695,3401
2026-07-11T16:43:47,timed,6,V6c_b128,V6c,128,6000,NVIDIA GeForce GTX 1650,573.22,60,13.64,1470,3401
2026-07-11T16:43:51,timed,6,V6d,V6d,,6000,NVIDIA GeForce GTX 1650,573.22,60,17.24,1815,3401
2026-07-11T16:43:56,warmup,-1,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,60,14.27,1560,3401
2026-07-11T16:44:05,warmup,-1,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,60,17.16,1815,3401
2026-07-11T16:44:13,warmup,-1,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,60,17.19,1815,3401
2026-07-11T16:44:22,warmup,-1,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,60,17.01,1815,3401
2026-07-11T16:44:31,timed,0,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,60,17.32,1815,3401
2026-07-11T16:44:39,timed,0,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,60,17.17,1815,3401
2026-07-11T16:44:47,timed,0,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,61,17.24,1815,3401
2026-07-11T16:44:56,timed,0,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,60,17.15,1815,3401
2026-07-11T16:45:04,timed,1,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,60,17.05,1815,3401
2026-07-11T16:45:12,timed,1,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,60,17.02,1815,3401
2026-07-11T16:45:20,timed,1,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,61,17.31,1815,3401
2026-07-11T16:45:28,timed,1,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,60,17.05,1815,3401
2026-07-11T16:45:36,timed,2,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,60,17.08,1815,3401
2026-07-11T16:45:43,timed,2,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,60,17.28,1815,3401
2026-07-11T16:45:52,timed,2,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,60,12.54,1020,3401
2026-07-11T16:46:05,timed,2,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,59,11.81,1020,3401
2026-07-11T16:46:19,timed,3,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,60,11.84,1020,3401
2026-07-11T16:46:33,timed,3,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,60,12.29,1020,3401
2026-07-11T16:46:45,timed,3,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,59,11.79,1020,3401
2026-07-11T16:46:55,timed,3,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,60,17.06,1815,3401
2026-07-11T16:47:04,timed,4,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,60,14.79,720,3401
2026-07-11T16:47:14,timed,4,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,60,17.15,1815,3401
2026-07-11T16:47:23,timed,4,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,61,17.19,1815,3401
2026-07-11T16:47:31,timed,4,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,61,17.04,1815,3401
2026-07-11T16:47:40,timed,5,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,61,16.82,795,3401
2026-07-11T16:47:51,timed,5,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,61,11.77,1020,3401
2026-07-11T16:48:00,timed,5,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,61,17.08,1800,3401
2026-07-11T16:48:08,timed,5,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,61,17.13,1800,3401
2026-07-11T16:48:16,timed,6,V6c_b32,V6c,32,8000,NVIDIA GeForce GTX 1650,573.22,61,16.76,1020,3401
2026-07-11T16:48:25,timed,6,V6c_b64,V6c,64,8000,NVIDIA GeForce GTX 1650,573.22,61,17.04,1800,3401
2026-07-11T16:48:33,timed,6,V6c_b128,V6c,128,8000,NVIDIA GeForce GTX 1650,573.22,61,16.43,1755,3401
2026-07-11T16:48:41,timed,6,V6d,V6d,,8000,NVIDIA GeForce GTX 1650,573.22,61,16.81,1785,3401
