"captured_at","sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","sm_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-14T18:28:14.7522893-04:00","8","0","warmup","2000","1000000","V4","0","2026/08/14 18:28:14.735","NVIDIA GeForce GTX 1650","573.22","59","12.27","1020","3500","7","1"
"2026-08-14T18:28:15.0714739-04:00","8","0","warmup","2000","1000000","V4","0","2026/08/14 18:28:15.052","NVIDIA GeForce GTX 1650","573.22","59","12.27","1020","3500","7","1"
"2026-08-14T18:28:15.3941887-04:00","8","0","warmup","2000","1000000","V4","0","2026/08/14 18:28:15.353","NVIDIA GeForce GTX 1650","573.22","59","12.22","1020","3500","1","0"
"2026-08-14T18:28:15.7582003-04:00","9","0","warmup","2000","1000000","V6c","1","2026/08/14 18:28:15.736","NVIDIA GeForce GTX 1650","573.22","59","12.25","1020","3500","1","0"
"2026-08-14T18:28:16.0384877-04:00","9","0","warmup","2000","1000000","V6c","1","2026/08/14 18:28:16.022","NVIDIA GeForce GTX 1650","573.22","59","12.25","1020","3500","1","0"
"2026-08-14T18:28:16.3208046-04:00","9","0","warmup","2000","1000000","V6c","1","2026/08/14 18:28:16.303","NVIDIA GeForce GTX 1650","573.22","59","12.28","1020","3500","2","0"
"2026-08-14T18:28:16.6356629-04:00","9","0","warmup","2000","1000000","V6c","1","2026/08/14 18:28:16.619","NVIDIA GeForce GTX 1650","573.22","59","12.32","1020","3500","2","0"
"2026-08-14T18:28:16.9260634-04:00","9","0","warmup","2000","1000000","V6c","1","2026/08/14 18:28:16.904","NVIDIA GeForce GTX 1650","573.22","59","13.91","1020","3500","2","0"
"2026-08-14T18:28:17.2882800-04:00","10","0","warmup","2000","1000000","V6e","2","2026/08/14 18:28:17.271","NVIDIA GeForce GTX 1650","573.22","59","12.22","1020","3500","5","1"
"2026-08-14T18:28:17.6043881-04:00","10","0","warmup","2000","1000000","V6e","2","2026/08/14 18:28:17.585","NVIDIA GeForce GTX 1650","573.22","59","12.26","1020","3500","5","1"
"2026-08-14T18:28:17.9119375-04:00","10","0","warmup","2000","1000000","V6e","2","2026/08/14 18:28:17.888","NVIDIA GeForce GTX 1650","573.22","59","12.26","1020","3500","5","1"
"2026-08-14T18:28:18.2336612-04:00","10","0","warmup","2000","1000000","V6e","2","2026/08/14 18:28:18.210","NVIDIA GeForce GTX 1650","573.22","59","12.30","1020","3500","0","0"
"2026-08-14T18:28:18.5235466-04:00","10","0","warmup","2000","1000000","V6e","2","2026/08/14 18:28:18.506","NVIDIA GeForce GTX 1650","573.22","59","13.07","1020","3500","0","0"
"2026-08-14T18:28:18.8770726-04:00","11","0","warmup","2000","1000000","V5c","3","2026/08/14 18:28:18.861","NVIDIA GeForce GTX 1650","573.22","59","12.17","1020","3500","0","0"
"2026-08-14T18:28:19.1908378-04:00","11","0","warmup","2000","1000000","V5c","3","2026/08/14 18:28:19.173","NVIDIA GeForce GTX 1650","573.22","59","12.22","1020","3500","0","0"
"2026-08-14T18:28:19.4918378-04:00","11","0","warmup","2000","1000000","V5c","3","2026/08/14 18:28:19.473","NVIDIA GeForce GTX 1650","573.22","59","12.20","1020","3500","10","1"
"2026-08-14T18:28:19.7921583-04:00","11","0","warmup","2000","1000000","V5c","3","2026/08/14 18:28:19.774","NVIDIA GeForce GTX 1650","573.22","59","12.24","1020","3500","10","1"
"2026-08-14T18:28:20.0934260-04:00","11","0","warmup","2000","1000000","V5c","3","2026/08/14 18:28:20.077","NVIDIA GeForce GTX 1650","573.22","59","12.52","1020","3500","10","1"
"2026-08-14T18:28:20.4687900-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:20.452","NVIDIA GeForce GTX 1650","573.22","59","12.23","1020","3500","8","1"
"2026-08-14T18:28:20.7642375-04:00","12","0","warmup","4096","100","V4","0","2026/08/14 18:28:20.756","NVIDIA GeForce GTX 1650","573.22","59","12.21","1020","3500","8","1"
