"sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","protocol_seed","raw_row_index","started_at","process_wall_ms","status","failure"
"196","4","record","2000","10000","V4","0","4000054","196","2026-08-14T18:59:03.8171468-04:00","1346.879","ok",""
"197","4","record","2000","10000","V6c","1","4000054","197","2026-08-14T18:59:05.2679524-04:00","1539.721","ok",""
"198","4","record","2000","10000","V6e","2","4000054","198","2026-08-14T18:59:06.9066358-04:00","1533.654","ok",""
"199","4","record","2000","10000","V5c","3","4000054","199","2026-08-14T18:59:08.5432876-04:00","1610.256","ok",""
"200","4","record","2000","1000000","V4","0","4000054","200","2026-08-14T18:59:10.2396575-04:00","1489.58","ok",""
"201","4","record","2000","1000000","V6c","1","4000054","201","2026-08-14T18:59:11.8410378-04:00","1644.263","ok",""
"202","4","record","2000","1000000","V6e","2","4000054","202","2026-08-14T18:59:13.6123673-04:00","1620.176","ok",""
"203","4","record","2000","1000000","V5c","3","4000054","203","2026-08-14T18:59:15.3525691-04:00","1556.205","ok",""
"204","4","record","4096","100","V4","0","4000054","204","2026-08-14T18:59:17.0124025-04:00","6350.769","ok",""
"205","4","record","4096","100","V6c","1","4000054","205","2026-08-14T18:59:23.4719924-04:00","5752.157","ok",""
"206","4","record","4096","100","V6e","2","4000054","206","2026-08-14T18:59:29.3065986-04:00","5713.727","ok",""
"207","4","record","4096","100","V5c","3","4000054","207","2026-08-14T18:59:35.1321560-04:00","5949.393","ok",""
"208","4","record","4096","10000","V4","0","4000054","208","2026-08-14T18:59:41.1923751-04:00","7381.107","ok",""
"209","4","record","4096","10000","V6c","1","4000054","209","2026-08-14T18:59:48.7527711-04:00","6492.974","ok",""
"210","4","record","4096","10000","V6e","2","4000054","210","2026-08-14T18:59:55.3472342-04:00","6556.348","ok",""
"211","4","record","4096","10000","V5c","3","4000054","211","2026-08-14T19:00:02.0621566-04:00","6342.118","ok",""
"212","4","record","4096","1000000","V4","0","4000054","212","2026-08-14T19:00:08.5093690-04:00","5460.152","ok",""
"213","4","record","4096","1000000","V6c","1","4000054","213","2026-08-14T19:00:14.0641440-04:00","6163.924","ok",""
"214","4","record","4096","1000000","V6e","2","4000054","214","2026-08-14T19:00:20.3347574-04:00","5763.89","ok",""
"215","4","record","4096","1000000","V5c","3","4000054","215","2026-08-14T19:00:26.2163547-04:00","6094.75","ok",""
"216","4","record","6000","100","V4","0","4000054","216","2026-08-14T19:00:32.4131774-04:00","9509.557","ok",""
"217","4","record","6000","100","V6c","1","4000054","217","2026-08-14T19:00:42.0289102-04:00","9408.34","ok",""
"218","4","record","6000","100","V6e","2","4000054","218","2026-08-14T19:00:51.5477494-04:00","9236.626","ok",""
"219","4","record","6000","100","V5c","3","4000054","219","2026-08-14T19:01:00.8911920-04:00","9397.957","ok",""
"220","4","record","6000","10000","V4","0","4000054","220","2026-08-14T19:01:10.4167613-04:00","8732.283","ok",""
"221","4","record","6000","10000","V6c","1","4000054","221","2026-08-14T19:01:19.2420637-04:00","8934.048","ok",""
"222","4","record","6000","10000","V6e","2","4000054","222","2026-08-14T19:01:28.2793680-04:00","9240.096","ok",""
"223","4","record","6000","10000","V5c","3","4000054","223","2026-08-14T19:01:37.6229901-04:00","9292.643","ok",""
"224","4","record","6000","1000000","V4","0","4000054","224","2026-08-14T19:01:47.0461686-04:00","8590.833","ok",""
"225","4","record","6000","1000000","V6c","1","4000054","225","2026-08-14T19:01:55.7326898-04:00","9147.398","ok",""
"226","4","record","6000","1000000","V6e","2","4000054","226","2026-08-14T19:02:05.0278652-04:00","9205.843","ok",""
"227","4","record","6000","1000000","V5c","3","4000054","227","2026-08-14T19:02:14.3251473-04:00","9278.269","ok",""
"228","4","record","8000","100","V4","0","4000054","228","2026-08-14T19:02:23.6954089-04:00","16226.923","ok",""
"229","4","record","8000","100","V6c","1","4000054","229","2026-08-14T19:02:40.0331541-04:00","17127.373","ok",""
"230","4","record","8000","100","V6e","2","4000054","230","2026-08-14T19:02:57.2589785-04:00","18588.611","ok",""
"231","4","record","8000","100","V5c","3","4000054","231","2026-08-14T19:03:15.9638414-04:00","18006.106","ok",""
"232","4","record","8000","10000","V4","0","4000054","232","2026-08-14T19:03:34.0778162-04:00","15882.531","ok",""
"233","4","record","8000","10000","V6c","1","4000054","233","2026-08-14T19:03:50.0933446-04:00","16446.504","ok",""
"234","4","record","8000","10000","V6e","2","4000054","234","2026-08-14T19:04:06.6561639-04:00","17246.967","ok",""
"235","4","record","8000","10000","V5c","3","4000054","235","2026-08-14T19:04:24.0212319-04:00","17711.812","ok",""
"236","4","record","8000","1000000","V4","0","4000054","236","2026-08-14T19:04:41.8701313-04:00","16127.59","ok",""
"237","4","record","8000","1000000","V6c","1","4000054","237","2026-08-14T19:04:58.0997221-04:00","17614.207","ok",""
"238","4","record","8000","1000000","V6e","2","4000054","238","2026-08-14T19:05:15.8197970-04:00","17585.693","ok",""
"239","4","record","8000","1000000","V5c","3","4000054","239","2026-08-14T19:05:33.5000234-04:00","18073.499","ok",""
"240","5","record","2000","100","V6c","0","5000057","240","2026-08-14T19:05:51.7004461-04:00","1533.51","ok",""
"241","5","record","2000","100","V6e","1","5000057","241","2026-08-14T19:05:53.3255084-04:00","1494.901","ok",""
"242","5","record","2000","100","V5c","2","5000057","242","2026-08-14T19:05:54.9170573-04:00","1527.452","ok",""
"243","5","record","2000","100","V4","3","5000057","243","2026-08-14T19:05:56.5518219-04:00","1553.661","ok",""
"244","5","record","2000","10000","V6c","0","5000057","244","2026-08-14T19:05:58.2033203-04:00","1538.082","ok",""
"245","5","record","2000","10000","V6e","1","5000057","245","2026-08-14T19:05:59.8881427-04:00","1585.397","ok",""
"246","5","record","2000","10000","V5c","2","5000057","246","2026-08-14T19:06:01.5923994-04:00","1544.539","ok",""
