"repeat","n","launch_position","requested_variant","csv_variant","sample_ms","sample_count","process_wall_ms","gpu_ms","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","max_temperature_c","avg_graphics_clock_mhz"
"1","4000","1","V3","V3","200","15","4437.6991","2820.99","127.504079","28.732024","34.78","2.988376844","77","1732"
"1","4000","2","V3f","V3f","200","13","3872.3631","2597.72","113.327985","29.265847","35.13","2.656124651","76","1671.923"
"1","4000","3","V4","V4","200","6","1843.9306","70.0846","38.418305","20.835006","22.09","0.900429022","74","1760"
"1","4000","4","V5a","V5a_t32x32","200","17","5521.0733","3339.68","147.36316","26.691035","35.2","3.453824068","75","1611.176"
"1","4000","5","V5af","V5af_t32x32","200","14","4956.7146","2865.74","134.896575","27.214917","34.7","3.161638467","74","1632.857"
"1","4000","6","V5bf","V5bf_t32x32","200","18","6098.5635","3824.84","167.582063","27.47894","34.95","3.927704612","74","1679.167"
"1","4000","7","VLU","VLU","200","15","5068.8113","2754.73","127.545109","25.162726","34.71","2.989338493","72","1565"
"1","4000","8","V6a","V6a_b64","200","8","3146.4311","675.353","53.832966","17.109215","19.76","1.26171015","71","1321.875"
"1","4000","9","V6b","V6b_b64","200","8","2983.3549","543.713","41.514762","13.915462","16.09","0.973002231","68","995.625"
"1","4000","10","V6c","V6c_b64","200","8","2846.2544","424.807","39.171886","13.762609","15.43","0.918091072","68","1095"
"1","4000","11","V6d","V6d_b32","200","8","2668.1992","368.427","37.247897","13.959939","17.65","0.872997583","67","1046.25"
"1","4000","12","V6e","V6e_b64","200","7","2416.471","325.932","35.126658","14.536346","16.91","0.823281037","67","1302.857"
"1","4000","13","V5c","V5c_b64","200","8","2621.7049","491.69","49.525155","18.890438","20.48","1.160745824","68","1702.5"
"1","4000","14","V1","V1","200","61","18366.0231","16666.2","572.891853","31.193027","34.32","13.4271528","73","1790.656"
"1","8000","0","V2","V2","200","713","231768.0747","226150","7543.709863","32.548529","35.21","22.10071249","75","1775.512"
"1","8000","1","V3","V3","200","77","26376.0646","19645.2","755.780465","28.654027","35.4","2.214200582","73","1486.948"
"1","8000","2","V3f","V3f","200","76","24810.553","18535.9","701.662409","28.280805","34.94","2.055651588","73","1416.316"
"1","8000","3","V4","V4","200","21","7069.5304","358.967","80.925364","11.447064","31.71","0.237086027","70","713.571"
"1","8000","4","V5a","V5a_t32x32","200","94","28229.75","21881.6","844.26228","29.906828","35.35","2.473424649","74","1581.543"
"1","8000","5","V5af","V5af_t32x32","200","82","23851.3436","20149.7","735.878247","30.852696","35.03","2.155893302","75","1581.402"
"1","8000","6","V5bf","V5bf_t32x32","200","105","30523.1524","26739.5","961.095833","31.487437","36.23","2.815710447","75","1664.143"
"1","8000","7","VLU","VLU","200","72","21655.8479","16588.1","623.014274","28.76887","34.96","1.825237132","73","1403.542"
"1","8000","8","V6a","V6a_b64","200","23","7261.6414","1165.09","93.786483","12.915328","30.84","0.274765086","70","924.13"
"1","8000","9","V6b","V6b_b64","200","21","6395.5941","774.59","82.998535","12.977455","28.41","0.243159771","68","792.857"
"1","8000","10","V6c","V6c_b64","200","19","5638.4325","646.427","79.927322","14.175451","32.84","0.234162076","68","897.632"
"1","8000","11","V6d","V6d_b64","200","18","5230.3058","636.596","82.264125","15.728358","29.38","0.241008177","68","1055.833"
"1","8000","12","V6e","V6e_b64","200","20","5754.387","1340.03","97.420981","16.929863","29.3","0.28541303","68","1068"
"1","8000","13","V5c","V5c_b64","200","22","6110.49","1754.64","111.484766","18.244816","34.79","0.326615525","69","1172.045"
"1","8000","14","V1","V1","200","687","198228.9962","194802","6649.650655","33.545298","35.11","19.481398403","74","1774.891"
"1","16000","0","V2","V2","200","8501","2587516.7293","2569440","85701.647317","33.121195","35.06","31.384880609","74","1777.707"
"1","16000","1","V3","V3","200","486","144010.1614","125658","4493.973329","31.205946","35.14","1.645742186","74","1429.259"
"1","16000","2","V3f","V3f","200","463","141533.9895","124015","4404.765044","31.121606","35.19","1.613073136","74","1404.136"
"1","16000","3","V4","V4","200","82","26158.0412","2078.21","240.696273","9.201617","33.72","0.088145608","69","473.415"
"1","16000","4","V5a","V5a_t32x32","200","591","173495.4443","161105","5715.80648","32.944995","35.5","2.09319085","77","1599.467"
"1","16000","5","V5af","V5af_t32x32","200","605","183394.4733","166016","5850.645184","31.901971","35.62","2.142570258","74","1577.975"
"1","16000","6","V5bf","V5bf_t32x32","200","863","267334.9764","247687","8633.862571","32.296046","36.22","3.161814906","76","1682.572"
"1","16000","7","VLU","VLU","200","569","176055.9502","149231","5224.913255","29.677573","35.19","1.913420381","76","1443.48"
"1","16000","8","V6a","V6a_b64","200","91","28756.0862","3718.66","321.893958","11.193942","34.37","0.117881088","70","616.154"
"1","16000","9","V6b","V6b_b64","200","66","18402.7868","3738.39","272.253785","14.794161","34.81","0.099702314","72","780.227"
"1","16000","10","V6c","V6c_b64","200","70","19790.5258","3564.11","279.864487","14.141337","34.29","0.102489436","71","741.429"
"1","16000","11","V6d","V6d_b64","200","70","19807.9892","3545.54","296.856441","14.986703","34.38","0.108712076","71","863.143"
"1","16000","12","V6e","V6e_b64","200","87","24666.9386","8553.4","410.896453","16.657781","31.87","0.150474775","72","993.621"
"1","16000","13","V5c","V5c_b64","200","115","33773.2862","14130.1","665.752621","19.712403","35.18","0.243805892","74","975"
"1","16000","14","V1","V1","200","8851","2675502.8833","2660950","88238.185332","32.980037","34.92","32.313788574","76","1778.399"
"2","2000","0","V3","V3","200","4","1408.6333","555.613","23.72883","16.845285","23.81","4.449155617","67","982.5"
"2","2000","1","V3f","V3f","200","4","1306.525","327.539","27.834855","21.304495","27.26","5.219035364","69","1747.5"
"2","2000","2","V4","V4","200","3","920.717","34.877","16.657394","18.091763","18.62","3.123261409","68","1800"
"2","2000","3","V5a","V5a_t32x32","200","5","1632.1723","582.966","34.773756","21.305199","29.34","6.520079174","68","1644"
"2","2000","4","V5af","V5af_t32x32","200","4","1274.0599","373.991","28.546837","22.406197","34.91","5.352531902","69","1770"
"2","2000","5","V5bf","V5bf_t32x32","200","4","1289.9674","480.463","32.999831","25.581911","35.36","6.187468247","69","1796.25"
"2","2000","6","VLU","VLU","200","3","1021.0657","391.751","27.407575","26.842127","34.63","5.138920376","69","1755"
"2","2000","7","V6a","V6a_b64","200","3","1001.7408","227.24","19.144032","19.110764","20.36","3.589506019","69","1800"
"2","2000","8","V6b","V6b_b64","200","3","961.1141","159.065","16.134446","16.787232","18.25","3.025208535","67","1540"
"2","2000","9","V6c","V6c_b64","200","3","944.2116","131.69","12.313268","13.040793","14.07","2.308737672","66","1020"
"2","2000","10","V6d","V6d_b32","200","3","934.6145","120.41","11.884593","12.716038","13.51","2.228361278","66","1020"
"2","2000","11","V6e","V6e_b64","200","3","960.7631","102.836","12.35035","12.854729","13.76","2.315690562","65","1125"
"2","2000","12","V5c","V5c_b64","200","3","934.5255","116.835","13.737501","14.699974","16.34","2.575781382","65","1335"
"2","2000","13","V1","V1","200","10","2860.4186","2247.39","76.111177","26.608405","31.29","14.270845616","68","1702.5"
"2","2000","14","V2","V2","200","11","3267.2121","2380.47","86.027706","26.330616","31.37","16.130194844","68","1800"
"2","4000","0","V3","V3","200","14","4102.1349","2533.41","112.669599","27.466088","35.01","2.640693716","70","1749.643"
"2","4000","1","V3f","V3f","200","12","3439.8233","2189.45","96.942471","28.182398","35.21","2.272089162","70","1681.25"
"2","4000","2","V4","V4","200","5","1456.8541","62.364","31.416897","21.564889","29.77","0.736333515","68","1794"
"2","4000","3","V5a","V5a_t32x32","200","14","4053.217","2738.2","111.02762","27.392469","35.17","2.602209854","70","1543.929"
"2","4000","4","V5af","V5af_t32x32","200","13","3721.9458","2466.46","103.909122","27.917957","34.99","2.435370045","71","1715.769"
